City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,13.56,93,100,5.66,CA,2024-09-16
1,usinsk,65.9939,57.5281,14.75,89,99,4.14,RU,2024-09-16
2,waitangi,-43.9535,-176.5597,11.01,95,100,4.47,NZ,2024-09-16
3,adamstown,-25.066,-130.1015,19.36,88,100,10.1,PN,2024-09-16
4,wailua homesteads,22.0669,-159.378,27.44,81,100,8.23,US,2024-09-16
5,ribeira grande,38.5167,-28.7,23.22,83,40,8.75,PT,2024-09-16
6,wanning,18.8003,110.3967,25.51,90,100,1.96,CN,2024-09-16
7,qaqortoq,60.7167,-46.0333,4.81,81,100,1.64,GL,2024-09-16
8,east ballina,-28.8667,153.5833,12.12,85,10,4.27,AU,2024-09-16
9,arteche,12.2645,125.4048,25.18,91,100,2.97,PH,2024-09-16
10,callao,-12.0667,-77.15,19.84,77,100,3.6,PE,2024-09-16
11,port elizabeth,-33.918,25.5701,15.17,83,0,1.54,ZA,2024-09-16
12,port-aux-francais,-49.35,70.2167,4.33,95,100,16.55,TF,2024-09-16
13,ust-nera,64.5667,143.2,1.1,87,100,2.79,RU,2024-09-16
14,laguna,38.421,-121.4238,21.77,52,75,5.66,US,2024-09-16
15,utrik,11.2278,169.8474,28.35,75,98,4.43,MH,2024-09-16
16,papatowai,-46.5619,169.4708,3.3,81,100,7.71,NZ,2024-09-16
17,punta arenas,-53.15,-70.9167,11.06,58,0,13.38,CL,2024-09-16
18,bethel,41.3712,-73.414,26.05,47,0,2.57,US,2024-09-16
19,khash,28.2211,61.2158,24.39,30,28,3.12,IR,2024-09-16
20,blackmans bay,-43.0167,147.3167,8.07,73,100,0.89,AU,2024-09-16
21,la junta,37.985,-103.5438,22.16,60,100,5.66,US,2024-09-16
22,grytviken,-54.2811,-36.5092,-0.88,82,58,5.79,GS,2024-09-16
23,mil'kovo,55.6078,37.7956,18.13,50,7,2.65,RU,2024-09-16
24,poso,-1.3959,120.7524,24.8,77,95,2.1,ID,2024-09-16
25,guiuan,11.0333,125.7247,28.33,77,100,8.13,PH,2024-09-16
26,ilulissat,69.2167,-51.1,2.01,87,100,2.57,GL,2024-09-16
27,hammerfest,70.6634,23.6821,11.25,76,0,0.0,NO,2024-09-16
28,mejit,10.2753,170.8646,27.87,79,13,4.96,MH,2024-09-16
