City_ID,city,lat,temp,humidity,cloudiness,wind_speed,date,country
0,New York,40.7143,23.42,89,0,3.6,1722824666,US
1,Los Angeles,34.0522,29.96,37,0,3.6,1722824388,US
2,Chicago,41.85,27.25,66,79,1.91,1722824412,US
3,Houston,29.7633,30.6,69,0,3.6,1722824400,US
4,Phoenix,33.4484,41.61,21,75,10.8,1722824651,US
5,Philadelphia,39.9523,24.5,90,61,1.34,1722824736,US
6,San Antonio,29.4241,30.06,53,75,6.17,1722824204,US
7,San Diego,32.7153,25.26,70,40,3.09,1722824727,US
8,Dallas,32.7668,31.51,53,0,4.12,1722824708,US
9,San Jose,37.3394,22.89,62,0,6.17,1722824570,US
10,Austin,30.2672,29.91,66,0,4.02,1722824776,US
11,Jacksonville,30.3322,25.07,93,75,8.75,1722824645,US
12,Fort Worth,32.7254,31.31,49,0,4.63,1722824659,US
13,Columbus,39.9612,24.77,82,100,0.0,1722824544,US
14,Charlotte,35.2271,24.97,83,0,0.89,1722824667,US
15,San Francisco,37.7749,17.61,79,40,5.66,1722824651,US
16,Indianapolis,39.7684,25.44,81,40,3.09,1722824793,US
17,Seattle,47.6062,28.47,45,0,3.6,1722824318,US
18,Denver,39.7392,26.97,41,100,3.06,1722824693,US
19,Washington,47.5001,31.1,24,0,2.07,1722824842,US
20,Boston,42.3584,22.37,90,75,5.14,1722824544,US
21,El Paso,31.8001,30.42,33,75,5.66,1722824756,US
22,Nashville,36.1659,27.2,74,5,2.3,1722824284,US
23,Detroit,42.3314,25.13,82,0,2.57,1722824336,US
24,Oklahoma City,35.4676,30.71,47,20,3.09,1722824325,US
25,Portland,45.5234,30.01,45,40,3.6,1722824899,US
26,Las Vegas,36.175,41.54,12,0,5.66,1722824713,US
27,Memphis,35.1495,27.88,72,0,1.54,1722824924,US
28,Louisville,38.2542,25.92,77,0,0.0,1722824372,US
29,Baltimore,39.2904,24.41,86,20,2.06,1722824924,US
30,Milwaukee,43.0006,24.09,74,40,3.09,1722824900,US
31,Albuquerque,35.0845,32.93,25,40,5.14,1722824700,US
32,Tucson,32.2217,32.34,39,100,3.6,1722824924,US
33,Fresno,36.6666,38.9,21,0,5.14,1722824924,US
34,Sacramento,38.4666,35.42,23,0,4.12,1722824925,US
35,Kansas City,39.0997,27.76,55,2,3.03,1722824392,US
